Yr,Winner,Loser
2009,Los Angeles Lakers (1),Orlando Magic (3)
2008,Boston Celtics (1),Atlanta Hawks (8)
2008,Detroit Pistons (2),Philadelphia 76ers (7)
2008,Orlando Magic (3),Toronto Raptors (6)
2008,Cleveland Cavaliers (4),Washington Wizards (5)
2008,Los Angeles Lakers (1),Denver Nuggets (8)
2008,New Orleans Hornets (2),Dallas Mavericks (7)
2008,San Antonio Spurs (3),Phoenix Suns (6)
2008,Utah Jazz (4),Houston Rockets (5)
2008,Boston Celtics (1),Cleveland Cavaliers (4)
2008,Detroit Pistons (2),Orlando Magic (3)
2008,Los Angeles Lakers (1),Utah Jazz (4)
2008,San Antonio Spurs (3),New Orleans Hornets (2)
2008,Boston Celtics (1),Detroit Pistons (2)
2008,Los Angeles Lakers (1),San Antonio Spurs (3)
2008,Boston Celtics (1),Los Angeles Lakers (1)
2007,Chicago Bulls (5),Miami Heat (4)
2007,Cleveland Cavaliers (2),Washington Wizards (7)
2007,Detroit Pistons (1),Orlando Magic (8)
2007,New Jersey Nets (6),Toronto Raptors (3)
2007,Golden State Warriors (8),Dallas Mavericks (1)
2007,Phoenix Suns (2),Los Angeles Lakers (7)
2007,San Antonio Spurs (3),Denver Nuggets (6)
2007,Utah Jazz (4),Houston Rockets (5)
2007,Cleveland Cavaliers (2),New Jersey Nets (6)
2007,Detroit Pistons (1),Chicago Bulls (5)
2007,San Antonio Spurs (3),Phoenix Suns (2)
2007,Utah Jazz (4),Golden State Warriors (8)
2007,Cleveland Cavaliers (2),Detroit Pistons (1)
2007,San Antonio Spurs (3),Utah Jazz (4)
2007,San Antonio Spurs (3),Cleveland Cavaliers (2)
2006,Cleveland Cavaliers (4),Washington Wizards (5)
2006,Detroit Pistons (1),Milwaukee Bucks (8)
2006,Miami Heat (2),Chicago Bulls (7)
2006,New Jersey Nets (3),Indiana Pacers (6)
2006,Dallas Mavericks (4),Memphis Grizzlies (5)
2006,Los Angeles Clippers (6),Denver Nuggets (3)
2006,Phoenix Suns (2),Los Angeles Lakers (7)
2006,San Antonio Spurs (1),Sacramento Kings (8)
2006,Detroit Pistons (1),Cleveland Cavaliers (4)
2006,Miami Heat (2),New Jersey Nets (3)
2006,Dallas Mavericks (4),San Antonio Spurs (1)
2006,Phoenix Suns (2),Los Angeles Clippers (6)
2006,Miami Heat (2),Detroit Pistons (1)
2006,Dallas Mavericks (4),Phoenix Suns (2)
2006,Miami Heat (2),Dallas Mavericks (4)
2005,Detroit Pistons (2),Philadelphia 76ers (7)
2005,Indiana Pacers (6),Boston Celtics (3)
2005,Miami Heat (1),New Jersey Nets (8)
2005,Washington Wizards (5),Chicago Bulls (4)
2005,Dallas Mavericks (4),Houston Rockets (5)
2005,Phoenix Suns (1),Memphis Grizzlies (8)
2005,San Antonio Spurs (2),Denver Nuggets (7)
2005,Seattle SuperSonics (3),Sacramento Kings (6)
2005,Detroit Pistons (2),Indiana Pacers (6)
2005,Miami Heat (1),Washington Wizards (5)
2005,Phoenix Suns (1),Dallas Mavericks (4)
2005,San Antonio Spurs (2),Seattle SuperSonics (3)
2005,Detroit Pistons (2),Miami Heat (1)
2005,San Antonio Spurs (2),Phoenix Suns (1)
2005,San Antonio Spurs (2),Detroit Pistons (2)
2004,Detroit Pistons (3),Milwaukee Bucks (6)
2004,Indiana Pacers (1),Boston Celtics (8)
2004,Miami Heat (4),New Orleans Hornets (5)
2004,New Jersey Nets (2),New York Knicks (7)
2004,Los Angeles Lakers (2),Houston Rockets (7)
2004,Minnesota Timberwolves (1),Denver Nuggets (8)
2004,Sacramento Kings (4),Dallas Mavericks (5)
2004,San Antonio Spurs (3),Memphis Grizzlies (6)
2004,Detroit Pistons (3),New Jersey Nets (2)
2004,Indiana Pacers (1),Miami Heat (4)
2004,Los Angeles Lakers (2),San Antonio Spurs (3)
2004,Minnesota Timberwolves (1),Sacramento Kings (4)
2004,Detroit Pistons (3),Indiana Pacers (1)
2004,Los Angeles Lakers (2),Minnesota Timberwolves (1)
2004,Detroit Pistons (3),Los Angeles Lakers (2)
2003,Boston Celtics (6),Indiana Pacers (3)
2003,Detroit Pistons (1),Orlando Magic (8)
2003,New Jersey Nets (2),Milwaukee Bucks (7)
2003,Philadelphia 76ers (4),New Orleans Hornets (5)
2003,Dallas Mavericks (3),Portland Trail Blazers (6)
2003,Los Angeles Lakers (5),Minnesota Timberwolves (4)
2003,Sacramento Kings (2),Utah Jazz (7)
2003,San Antonio Spurs (1),Phoenix Suns (8)
