Team,3PM,3PA,3P%,3P% share in Total Points,Year
Utah Jazz,4,10.4,38.5,12.44,1999-00
Washington Wizards,4.1,10.9,37.6,12.74,1999-00
Charolette Hornets,4.1,12.2,33.9,12.5,1999-00
New Orleans Pelicans, , , , ,1999-00
Atlanta Hawks,4.5,12.9,34.9,14.16,2000-01
Boston Celtics,4.4,13.2,33.3,14.33,2000-01
Brooklyn Nets,4.8,13.6,35.1,16.24,2000-01
Chicago Bulls,7.2,19.9,36.3,22.84,2000-01
Cleveland Cavaliers,4,11.5,34.3,13.09,2000-01
Dallas Mavericks,6.2,17.6,35.5,19.26,2000-01
Denver Nuggets,4.4,13,33.9,14.28,2000-01
Detroit Pistons,5.2,14.2,36.9,15.99,2000-01
Golden State Warriors,4.1,11.4,35.7,13.52,2000-01
Houston Rockets,3.9,11,35.7,12.03,2000-01
Indiana Pacers,4,11.6,34.6,13.7,2000-01
Los Angeles Clippers,6.3,16.5,38.1,18.81,2000-01
Los Angeles Lakers,2.7,8,33.4,8.78,2000-01
Memphis Grizzlies,4,10.4,38.1,12.36,2000-01
Miami Heat,6.1,17.2,35.7,18.83,2000-01
Milwaukee Bucks,4.7,13.6,35,14.75,2000-01
Minnesota Timberwolves,5.8,16.5,35.4,17.11,2000-01
New York Knicks,5.8,16.9,34.5,19.58,2000-01
Oklahoma City Thunder,5.7,14.3,39.9,17.58,2000-01
Orlando Magic,6,16.4,36.4,18.47,2000-01
Philadelphia 76ers,6.9,18.1,37.9,20.56,2000-01
Phoenix Suns,5.4,15.5,34.4,16.1,2000-01
Portland Trail Blazers,3.4,10.3,32.4,10.95,2000-01
Sacramento Kings,3.2,9.8,32.6,10.13,2000-01
San Antonio Spurs,5.4,13.3,40.7,16.84,2000-01
Toronto Raptors,3.4,11.8,29.3,11.03,2000-01
Utah Jazz,4.8,14.1,34.2,15.56,2000-01
Washington Wizards,4,12.9,31.5,12.77,2000-01
Charolette Hornets,4.1,12,34.6,13.39,2000-01
New Orleans Pelicans, , , , ,2000-01
Atlanta Hawks,5.2,14.6,35.4,16.6,2001-02
Boston Celtics,8.5,23.7,35.9,26.5,2001-02
Brooklyn Nets,4.9,14.6,33.8,15.3,2001-02
Chicago Bulls,3.7,10.6,34.6,12.4,2001-02
Cleveland Cavaliers,4.7,12.5,37.7,14.8,2001-02
Dallas Mavericks,7.6,20.1,37.8,21.7,2001-02
Denver Nuggets,5.2,15.7,32.9,16.9,2001-02
Detroit Pistons,6.9,18.4,37.6,22,2001-02
Golden State Warriors,3.9,12.1,32.2,12,2001-02
Houston Rockets,6,18,33.5,19.5,2001-02
Indiana Pacers,4.9,14.6,33.9,15.2,2001-02
Los Angeles Clippers,5,14,35.6,15.7,2001-02
Los Angeles Lakers,6.2,17.5,35.4,18.4,2001-02
Memphis Grizzlies,4.1,13.4,30.7,13.7,2001-02
Miami Heat,3.8,11,34.7,13.1,2001-02
Milwaukee Bucks,7.2,19.3,37.5,22.2,2001-02
Minnesota Timberwolves,4.8,12.8,37.8,14.5,2001-02
New York Knicks,5.8,16.4,35.3,19,2001-02
Oklahoma City Thunder,6,15.8,37.8,18.4,2001-02
Orlando Magic,7.6,20.2,37.3,22.7,2001-02
Philadelphia 76ers,2.6,8.7,29.9,8.6,2001-02
Phoenix Suns,4.4,13.4,32.7,13.9,2001-02
Portland Trail Blazers,5.7,16.1,35.4,17.7,2001-02
Sacramento Kings,5.2,14.1,36.7,14.9,2001-02
San Antonio Spurs,5.3,14.8,36.2,16.4,2001-02
Toronto Raptors,4.7,13.5,34.9,15.4,2001-02
Utah Jazz,3.4,10.3,33.3,10.6,2001-02
Washington Wizards,3.7,9.6,38.8,12,2001-02
Charolette Hornets,4.2,12.1,34.8,13.4,2001-02
New Orleans Pelicans, , , , ,2001-02
Atlanta Hawks,4.9,13.9,35.2,15.6,2002-03
Boston Celtics,8.8,26.3,33.4,28.5,2002-03
Brooklyn Nets,4.2,12.7,33.2,13.2,2002-03
Chicago Bulls,4.3,12.2,35,13.6,2002-03
Cleveland Cavaliers,3.6,10.9,32.7,11.8,2002-03
Dallas Mavericks,7.8,20.3,38.1,22.7,2002-03
Denver Nuggets,2.8,10,27.8,10,2002-03
Detroit Pistons,6.5,18.1,35.8,21.3,2002-03
Golden State Warriors,5.2,15.1,34.4,15.2,2002-03
Houston Rockets,5.4,15.5,34.6,17.3,2002-03
Indiana Pacers,4.6,13.6,33.9,14.3,2002-03
Los Angeles Clippers,4.8,14.4,33.1,15.4,2002-03
Los Angeles Lakers,5.9,16.7,35.6,17.6,2002-03
Memphis Grizzlies,5.7,15.6,36.5,17.5,2002-03
